centre,intensity,sigma,log_likelihood,log_prior,log_posterior,weights
50.162966666833995,1.0489775252518312,10.033690939364464,-54639.55497462561,0.9533319726897117,-54638.60164265292,1.0
51.04635731806677,1.0495997310356864,10.030741221445169,-54642.204714721665,0.9527630470375463,-54641.251951674625,1.0
49.00547288499127,1.0541295573964196,10.118846836668649,-54645.01198459049,0.9489324870250577,-54644.06305210347,1.0
48.13740069877461,1.1105947237902338,10.24513455870955,-54627.46778567384,0.9016202872498963,-54626.56616538659,1.0
51.15110496575784,1.3774852190476126,10.377915381053178,-54474.67386876783,0.7288170035280385,-54473.945051764305,1.0
49.581644928010604,0.9970044269658083,9.976896513231393,-54668.025405928194,1.0030152488754254,-54667.02239067932,1.0
50.42740397401994,1.0173073005562783,10.05848454277753,-54660.56192086877,0.9830555548557367,-54659.57886531392,1.0
50.62481073343028,1.0746503116849166,10.015750920934984,-54624.039293757385,0.9305402151370474,-54623.10875354225,1.0
50.20527960448206,1.1722686006090306,10.198398417437957,-54576.859713791906,0.8538340569898649,-54576.00587973492,1.0
50.77964080584429,1.0696309605645973,10.015115226493956,-54627.69314476492,0.9349064531989659,-54626.75823831172,1.0
50.85143295772338,0.9779492184940777,10.091511763655914,-54687.628997106985,1.0227154701910923,-54686.60628163679,1.0
50.7587131899331,1.0941711222473054,10.017567511608224,-54613.00329723565,0.9139399982997528,-54612.089357237346,1.0
50.784775806647744,1.12813562668245,10.059644546289789,-54595.55749987674,0.8864893923763819,-54594.671010484366,1.0
49.948103637207105,0.9555055780631965,10.010565194992187,-54694.538444407284,1.0465685979160664,-54693.49187580937,1.0
50.550959458533846,1.0349544587792392,10.070914901998439,-54651.079250035305,0.966326668433338,-54650.11292336687,1.0
48.92165643010176,1.1574145723981186,10.240647728827737,-54592.412662276176,0.8651528779840039,-54591.547509398195,1.0
51.363223985272604,1.1463378983039603,9.834260894456836,-54573.49946183093,0.8728925275326188,-54572.62656930339,1.0
48.789944641684855,1.2197632781551366,10.308454848811223,-54561.65948320268,0.8217340943961557,-54560.83774910829,1.0
50.71119068588413,1.2650535753741758,10.242699971171122,-54526.92453072958,0.7916584210293585,-54526.132872308546,1.0
49.657324584795546,0.9710055205356763,10.063074864265127,-54688.61136302731,1.0299398309942231,-54687.581423196316,1.0
48.78527068322137,0.974506602372411,9.859539278591399,-54678.85277463449,1.0265548971712277,-54677.82621973732,1.0
